name,serving_size,energy_kcal,protein_g,carbohydrate_g,fat_g,sugar_g,sodium_mg,fiber_g,label
Putri selat,0.90 g,163.0,2.2,13.8,6.5,0.0,6.0,0.0,Sehat
Yogurt greek yummy blueberry,8 g,140.0,8.0,19.0,3.5,10.0,65.0,0.0,Sehat
Teh hitam daun kering,5.90 g,293.0,24.5,58.8,2.8,0.0,50.0,8.7,Sehat
abc kopi susu,1 g,130.0,1.0,27.0,2.5,0.0,15.0,0.0,Sehat
Es krim Aice coklat sundae,2 g,100.0,2.0,14.0,4.0,8.0,15.0,0.0,Kurang Sehat
Bayam merah,Tidak Diketahui,2.2,41.0,2.2,6.3,0.8,0.0,20.0,Sehat
Susu WRP loses weight coklat,2 g,220.0,14.0,27.0,6.0,20.0,0.0,2.0,Sehat
ABC Kecap Asin,1 g,5.0,1.0,1.0,0.0,0.0,830.0,0.0,Kurang Sehat
Buah naga putih,Tidak Diketahui,0.6,56.0,0.8,10.9,1.0,0.0,7.0,Sehat
Kacang bogor segar,1 g,165.0,7.7,27.4,3.1,0.0,6.0,2.5,Sehat
Chatime pearl milk tea,1 g,374.0,1.0,67.0,11.0,39.5,0.0,0.0,Kurang Sehat
Aqua,0 g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sehat
Bingka,0.60 g,273.0,5.3,39.1,10.6,0.0,0.0,0.0,Sehat
Enting-enting wijen,3 g,565.0,18.2,36.8,38.4,0.0,0.0,1.9,Kurang Sehat
Kool merah,Tidak Diketahui,0.9,29.0,1.4,5.3,0.2,0.0,28.0,Sehat
Oyek,0.70 g,351.0,0.9,84.9,0.9,0.0,5.0,4.3,Sehat
Rujak aceh,0.90 g,82.0,0.4,19.7,0.3,0.0,0.0,2.4,Sehat
Keripik kemplang goreng,3.40 g,504.0,5.6,57.1,28.1,0.0,0.0,0.3,Kurang Sehat
Bungkil kelapa,38 g,368.0,23.0,40.0,15.0,0.0,0.0,0.0,Kurang Sehat
Bamboe soto ayam,1 g,10.0,1.0,2.0,1.0,1.0,850.0,1.0,Sehat
Geplak Jahe,2.50 g,462.0,3.1,57.7,14.4,0.0,0.0,3.3,Kurang Sehat
Dodol kedongdong,0.40 g,331.0,1.9,63.8,7.6,0.0,0.0,1.0,Sehat
Ubi Cilembu,0.90 g,186.0,1.9,44.3,0.2,0.0,1.0,3.4,Sehat
Bungkil biji karet,29.40 g,333.0,29.3,50.0,3.3,0.0,0.0,0.0,Sehat
Monde Boromon Wafers rasa Vanila,2 g,60.0,1.0,16.0,7.0,7.0,60.0,2.0,Sehat
Good Day Cappuccino With Cocoa Granule,1 g,110.0,1.0,21.0,2.5,17.0,10.0,1.0,Sehat
Starbucks hot caramel macchiato (wholemilk),10 g,280.0,10.0,35.0,11.0,0.0,0.0,0.0,Sehat
Soto kudus,Tidak Diketahui,1.7,38.0,3.6,1.8,2.3,0.0,0.0,Sehat
Tahubaxo rebus,11 g,109.0,11.0,16.0,0.0,0.0,504.0,0.0,Sehat
Meises coklat,2 g,120.0,0.0,20.0,4.0,16.0,0.0,2.0,Sehat
Jeruk Kalamansi,Tidak Diketahui,0.4,39.0,0.3,8.9,0.3,0.0,3.0,Sehat
Batar daan,0.70 g,107.0,2.2,19.6,2.2,0.0,200.0,0.0,Kurang Sehat
Nasi Goreng,0.40 g,500.0,7.0,40.2,34.4,0.0,18.0,0.4,Kurang Sehat
Baruasa,0.70 g,417.0,6.5,79.3,8.2,0.0,0.0,0.0,Sehat
Omelet Mie Telur,14.30 g,500.7,14.3,54.5,24.3,0.0,1132.0,0.0,Kurang Sehat
Saladstop Sunshine jakarta,15.10 g,556.6,45.2,50.7,26.6,18.1,988.8,15.1,Tidak Sehat
Sarimi isi tongseng ayam,6 g,560.0,11.0,76.0,23.0,5.0,0.0,6.0,Kurang Sehat
Susu Rasa Taro,5 g,130.0,5.0,18.0,4.0,14.0,60.0,0.0,Sehat
Masako Daging Sapi,0 g,0.0,0.0,0.0,0.0,0.0,590.0,0.0,Kurang Sehat
Koya mirasa,1.60 g,370.0,8.0,82.2,1.0,0.0,0.0,0.4,Sehat
Sasa tepung bakso goreng,1 g,90.0,1.0,21.0,0.0,0.0,910.0,0.0,Kurang Sehat
Mizone,0 g,45.0,0.0,11.0,0.0,11.0,0.0,0.0,Kurang Sehat
Fillet o-fish,1.50 g,270.0,12.3,19.3,15.9,0.0,439.0,0.2,Kurang Sehat
Monde Snack Gold,2 g,20.0,2.0,16.0,2.5,3.0,35.0,0.0,Sehat
Mony Oats Dark Choco Flavour,0 g,50.0,0.0,7.0,20.0,4.0,15.0,0.0,Kurang Sehat
Subway black forest ham sandwich,5 g,290.0,18.0,46.0,4.5,8.0,0.0,5.0,Kurang Sehat
Tempe lamtoro var. gung dengan kuit,1.30 g,146.0,11.7,19.6,2.3,0.0,0.0,7.6,Sehat
Silky Pudding Taro Flavour,2 g,15.0,2.0,16.0,1.5,11.0,45.0,0.0,Kurang Sehat
Niu Zuzu rasa coklat,2 g,120.0,2.0,22.0,3.0,18.0,110.0,0.0,Kurang Sehat
Jeruk bali,Tidak Diketahui,0.5,48.0,0.6,12.4,0.2,0.0,21.0,Sehat
Delfi ChaCha Peanut,3 g,160.0,3.0,17.0,8.0,0.0,10.0,0.0,Sehat
Bihun goreng instan,0.70 g,381.0,6.1,80.3,3.9,0.0,928.0,0.0,Kurang Sehat
Mie ayam,0.80 g,102.0,6.2,10.5,3.9,0.0,279.0,0.0,Sehat
Nongshim Shin cup,10.90 g,309.0,10.9,46.8,6.0,1.9,0.0,0.0,Sehat
Teh botol tawar,0 g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sehat
Biji nangka / Biji salak,0.70 g,262.0,2.3,51.1,5.4,0.0,10.0,8.0,Sehat
Emping (keripik melinjo),28 g,345.0,12.0,71.5,1.5,0.0,0.0,0.0,Sehat
Soto bandung,Tidak Diketahui,1.8,42.0,3.9,2.8,1.7,0.0,0.0,Sehat
Origo coffe avocado coffe,4.04 g,160.0,4.04,22.46,6.02,14.12,0.0,0.0,Kurang Sehat
Subway sweet onion chicken teriyaki sandwich,5 g,370.0,25.0,58.0,4.5,16.0,0.0,5.0,Kurang Sehat
Komak polong,1.10 g,99.0,3.3,21.2,0.1,0.0,15.0,10.3,Sehat
Hazelnut,9.70 g,628.0,14.95,16.7,60.75,0.0,0.0,9.7,Kurang Sehat
Sariroti roti tawar kupas,1 g,110.0,3.0,19.0,2.0,1.0,170.0,1.0,Sehat
Mie bakso,0.80 g,114.0,5.3,16.4,3.0,0.0,760.0,0.1,Sehat
Kin bulgarian yogurt orange,3 g,150.0,3.0,28.0,2.5,27.0,0.0,0.0,Kurang Sehat
Tapai singkong,0.70 g,169.0,1.4,40.2,0.3,0.0,0.0,2.0,Sehat
Buncis,Tidak Diketahui,0.5,34.0,2.4,7.2,0.3,0.0,8.0,Sehat
Biskuit serena egg rolls chocolate,1 g,80.0,1.0,8.0,4.5,4.0,0.0,1.0,Sehat
Ikan Mujahir / mujair goreng,2.20 g,416.0,46.9,0.0,23.9,0.0,54.0,0.0,Kurang Sehat
Kue ku temu,0.50 g,214.0,3.5,49.6,0.2,0.0,0.0,0.0,Sehat
Coklat Ferrero rocher,1 g,238.0,3.0,18.0,16.0,15.0,0.0,1.0,Kurang Sehat
Outback steackhouse outback special,51 g,280.0,51.0,0.0,9.0,0.0,0.0,0.0,Sehat
Indomie goreng,2 g,380.0,8.0,54.0,14.0,8.0,0.0,2.0,Kurang Sehat
Nestle nestum,1 g,130.0,3.0,27.0,1.5,9.0,0.0,1.0,Sehat
Indofood cap enak (kental manis),2 g,120.0,1.0,21.0,4.0,19.0,0.0,2.0,Sehat
Pastel,1.50 g,307.0,4.5,42.4,13.3,0.0,0.0,0.0,Kurang Sehat
Momogi Bintang Coklat,1 g,50.0,1.0,6.0,3.0,0.0,20.0,0.0,Sehat
King's Fisher sarden goreng balado,8 g,120.0,8.0,4.0,8.0,0.0,0.0,0.0,Sehat
Kewpie Caesar,1 g,70.0,1.0,3.0,6.0,0.0,190.0,0.0,Kurang Sehat
Getuk singkong,1.10 g,204.0,0.5,47.4,1.4,0.0,0.0,0.8,Sehat
Kenari banda,3.20 g,616.0,13.9,13.7,56.2,0.0,11.0,0.0,Kurang Sehat
Indomie ayam geprek,3 g,410.0,9.0,49.0,20.0,6.0,0.0,3.0,Kurang Sehat
Oncom kacang tanah pepes,4.80 g,132.0,11.7,13.7,3.8,0.0,0.0,3.1,Sehat
Putri hijau,0.50 g,189.0,5.4,37.2,2.1,0.0,0.0,0.0,Sehat
Nestle Milo 3in1 Activ-Go (Malt),1 g,140.0,4.0,25.0,3.0,0.0,80.0,1.0,Sehat
Tiwul Instan,2.70 g,395.0,3.2,76.5,8.5,0.0,377.0,4.2,Kurang Sehat
Lanting getuk,3.80 g,422.0,0.9,80.4,10.8,0.0,0.0,1.4,Sehat
Daun Kenikir,Tidak Diketahui,1.7,45.0,3.7,6.6,0.5,0.0,6.0,Sehat
Oncom,1.40 g,187.0,13.0,22.6,6.0,0.0,0.0,0.0,Sehat
Nasi minyak,1.10 g,207.0,3.5,37.1,5.0,0.0,74.0,0.8,Sehat
Starbucks green tea frappuccino (whole milk),5 g,320.0,5.0,64.0,4.5,0.0,0.0,0.0,Sehat
Kue Kelepon,1.20 g,215.0,3.7,41.8,3.7,0.0,0.0,1.0,Sehat
ABC Selera pedas hot gulai chicken,21 g,270.0,7.0,34.0,12.0,1.0,0.0,21.0,Sehat
Royco sup krim jagung,1 g,70.0,1.0,11.0,2.0,4.0,380.0,0.0,Kurang Sehat
BANGO Kecap Manis Light,0 g,40.0,0.0,10.0,0.0,8.0,140.0,0.0,Kurang Sehat
Happy Tos Tortilla Chips,1 g,60.0,2.0,16.0,7.0,1.0,125.0,1.0,Sehat
super bubur rasa ayam,3 g,170.0,3.0,32.0,3.0,0.0,840.0,0.0,Kurang Sehat
Yoshinoya Veggie beef bowl (Large bowl),9 g,960.0,35.0,141.0,29.0,8.0,0.0,9.0,Kurang Sehat
Intip goreng,2 g,474.0,7.6,62.3,21.6,0.0,0.0,1.2,Kurang Sehat
Daun pohpohan,Tidak Diketahui,2.4,37.0,2.5,6.9,0.8,0.0,0.0,Sehat
Suki Rasa Ayam Kecap,2 g,100.0,2.0,13.0,4.0,1.0,240.0,0.0,Kurang Sehat
Mie Sedaap baso spesial,6 g,340.0,9.0,47.0,13.0,2.0,0.0,6.0,Kurang Sehat
Naraya melon seed,6 g,130.0,6.0,2.0,10.0,0.0,180.0,0.0,Sehat
You C1000 vitamin lemon,0 g,700.0,0.0,16.0,0.0,16.0,0.0,0.0,Kurang Sehat
Kopi Good day the original,1 g,90.0,1.0,16.0,2.5,13.0,0.0,1.0,Sehat
Naraya Coklat Cookies,1 g,50.0,1.0,6.0,3.0,0.0,45.0,0.0,Sehat
Susu On gold standard whey,0.50 g,120.0,20.0,3.0,1.8,1.6,0.0,0.5,Sehat
Sariroti roti tawar gandum,6 g,190.0,6.0,32.0,3.5,2.0,290.0,6.0,Sehat
King's Fisher sarden sambal bangkok,8 g,70.0,8.0,6.0,2.0,0.0,0.0,0.0,Sehat
Ultra Sari Asem Asli,0 g,130.0,0.0,32.0,0.0,0.0,0.0,0.0,Sehat
Sagu aren segar,0.10 g,231.0,0.6,56.6,0.2,0.0,7.0,3.2,Sehat
Koyabu,0.90 g,241.0,3.4,47.2,4.3,0.0,0.0,0.0,Sehat
Buah kelor,1.30 g,38.0,1.5,7.5,0.2,0.0,48.0,3.2,Sehat
Mie Sedaap Cup Mi Kuah Bakso,8 g,350.0,8.0,45.0,15.0,0.0,1070.0,0.0,Kurang Sehat
Martabak mesir,1.10 g,278.0,5.1,45.0,8.6,0.0,193.0,0.0,Kurang Sehat
Croissant,1 g,180.0,3.0,21.0,9.0,0.0,0.0,1.0,Sehat
Hokben Tori Ball,7 g,250.0,7.0,15.0,14.0,0.0,0.0,0.0,Sehat
Beras ganyong,0.50 g,364.0,3.4,86.3,0.7,0.0,4.0,4.7,Sehat
MR.P Cashewnuts,7 g,250.0,7.0,11.0,19.0,0.0,0.0,0.0,Sehat
Dodol bali,1.80 g,298.0,3.7,65.9,2.1,0.0,0.0,0.4,Sehat
Susu kambing,Tidak Diketahui,0.9,64.0,4.3,6.6,2.3,0.0,35.0,Sehat
Origo coffe strawberry kopi susu,2.43 g,108.0,2.43,12.55,4.34,10.25,0.0,0.0,Kurang Sehat
Permen KIS mini assorted,0 g,30.0,0.0,7.0,0.0,5.0,0.0,0.0,Kurang Sehat
Keju kcang tanah (peanut butter),0.10 g,590.0,27.0,20.9,49.0,0.0,355.0,1.6,Kurang Sehat
donat Krispy kreme mini original glazed,0.30 g,83.3,1.0,10.0,4.3,4.7,0.0,0.3,Sehat
Sarimi Gelas Rasa Baso Sapi,3 g,50.0,2.0,18.0,6.0,2.0,390.0,3.0,Sehat
Dalgona coffe,9.25 g,306.0,9.25,52.77,7.05,33.86,0.0,0.0,Kurang Sehat
Lousiana rub (classic wings),1 g,171.0,15.0,1.0,12.0,0.0,0.0,1.0,Sehat
Outback steackhouse Ribeye,58 g,540.0,58.0,0.0,35.0,0.0,0.0,0.0,Kurang Sehat
Bonchon Spicy wings,0 g,800.0,56.0,18.0,54.0,5.0,0.0,0.0,Kurang Sehat
Talas bogor kukus,0.80 g,120.0,1.5,28.2,0.3,0.0,11.0,0.7,Sehat
Maya Sardines Chili sause,0.23 g,180.0,12.08,2.6,2.11,0.0,0.2,0.0,Sehat
Good Day rock caramello 3 in 1 200g,1 g,40.0,1.0,14.0,4.5,13.0,100.0,1.0,Kurang Sehat
PRONAS Sarden saus pedas (425 g),8 g,80.0,8.0,2.0,4.0,0.0,120.0,0.0,Sehat
Terung belanda,Tidak Diketahui,1.0,52.0,2.1,8.6,1.1,0.0,0.0,Sehat
Chitato,2 g,110.0,2.0,11.0,6.0,0.0,0.0,0.0,Sehat
Rambutan,0.40 g,69.0,0.9,18.1,0.1,0.0,16.0,0.8,Sehat
Sawo Manila,0.50 g,92.0,0.5,22.4,1.1,0.0,26.0,9.5,Sehat
Kerupuk cumi goreng,3.80 g,444.0,6.9,71.3,14.6,0.0,837.0,5.0,Kurang Sehat
Gemblong,1.20 g,274.0,1.7,55.5,5.4,0.0,0.0,2.2,Sehat
Pop mie rasa baso,3 g,140.0,8.0,47.0,15.0,5.0,720.0,3.0,Kurang Sehat
Soto madura,Tidak Diketahui,0.9,60.0,3.5,1.3,4.5,0.0,0.0,Sehat
Saos tomat,3.60 g,110.0,2.0,24.5,0.4,0.0,890.0,0.9,Sehat
Sariroti sandwich coklat,2 g,150.0,3.0,21.0,6.0,4.0,125.0,2.0,Sehat
Sagu manis,0.60 g,287.0,0.5,62.4,3.9,0.0,34.0,0.0,Kurang Sehat
Lemonia Biscuit,1 g,45.0,1.0,13.0,5.0,5.0,50.0,1.0,Sehat
Koro loke,Tidak Diketahui,0.6,33.0,2.7,7.9,0.2,0.0,2.0,Sehat
Daun pakis,Tidak Diketahui,1.4,39.0,4.5,6.9,0.4,0.0,20.0,Sehat
Kangkung tondano,1.10 g,43.0,1.8,8.4,0.2,0.0,30.0,4.3,Sehat
Mie telur cap 3 ayam,6 g,230.0,8.0,49.0,0.0,2.0,0.0,6.0,Sehat
Tepung Gaplek,1.10 g,345.0,2.4,83.1,0.4,0.0,6.0,6.7,Sehat
Tempe kedelai murni mentah,1.60 g,201.0,20.8,13.5,8.8,0.0,9.0,1.4,Sehat
Flax seeds,18.29 g,534.0,18.29,28.88,42.16,0.0,0.0,0.0,Kurang Sehat
Starbucks hot caramel macchiato (nonfat milk),11 g,200.0,11.0,36.0,1.5,0.0,0.0,0.0,Sehat
Bango Bumbu Kuliner Nusantara Tongseng Khas Solo,1 g,15.0,0.0,5.0,1.5,4.0,800.0,1.0,Sehat
Bobengka,0.60 g,225.0,5.3,45.2,2.6,0.0,0.0,0.0,Sehat
Pizza hut deluxe cheeses,1 g,150.0,6.0,17.0,6.0,2.0,0.0,1.0,Sehat
Mi ABC cup baso sapi,4 g,290.0,7.0,34.0,13.0,3.0,0.0,4.0,Kurang Sehat
Nasi merah,0.30 g,149.0,2.8,32.5,0.4,0.0,5.0,0.3,Sehat
Bagea kenari manis,1.30 g,523.0,3.2,64.2,28.2,0.0,74.0,0.0,Tidak Sehat
Teh Javana,0 g,0.0,0.0,28.0,0.0,28.0,75.0,0.0,Kurang Sehat
Biokul greek  yogurt,6 g,160.0,6.0,6.0,12.0,2.0,0.0,0.0,Sehat
Frisian flag sweet delight,6 g,150.0,6.0,20.0,6.0,18.0,75.0,0.0,Kurang Sehat
Ahh Nabati Richeese,0 g,10.0,0.0,3.0,1.0,1.0,15.0,0.0,Sehat
Indomie mi kuah,2 g,300.0,7.0,43.0,11.0,3.0,0.0,2.0,Sehat
Saladstop bold bulgogi,6 g,411.8,17.7,30.6,25.7,13.3,695.4,6.0,Tidak Sehat
Kue sus,0.90 g,221.0,7.5,24.8,10.2,0.0,0.0,0.0,Sehat
Dodol galamai,1.20 g,348.0,0.4,76.1,3.8,0.0,38.0,0.5,Sehat
Ketoprak,2.60 g,153.0,7.9,13.0,7.7,0.0,0.0,2.9,Sehat
Kue koa,1 g,340.0,4.8,79.3,0.4,0.0,0.0,0.0,Sehat
Keju mozzarella,27.50 g,280.0,27.5,3.1,17.1,0.0,0.0,0.0,Kurang Sehat
Espresso,0.04 g,3.0,0.04,0.49,0.05,0.0,0.0,0.0,Sehat
Permen frozz lime mint,0 g,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Sehat
Eskrim magnum white almond,3 g,230.0,3.0,23.0,14.0,13.0,0.0,3.0,Kurang Sehat
Pop mie mie goreng pedas,6 g,370.0,6.0,49.0,17.0,4.0,0.0,6.0,Kurang Sehat
Berilla Collezione Lasagne all'uovo,11 g,370.0,11.0,71.0,4.0,0.0,30.0,0.0,Sehat
Roma Sandwich,2 g,140.0,2.0,17.0,7.0,6.0,80.0,0.0,Kurang Sehat
Taoge kacang tunggak,Tidak Diketahui,1.0,40.0,5.0,5.8,0.2,0.0,2.0,Sehat
Kacang negara,0.90 g,480.0,18.4,58.5,19.1,0.0,1010.0,11.7,Kurang Sehat
Piattos Sambal Geprek Flavor,2 g,45.0,1.0,13.0,5.0,1.0,100.0,2.0,Sehat
Japilus,2.70 g,500.0,1.2,67.3,25.1,0.0,0.0,0.4,Kurang Sehat
Ribeye,19.80 g,217.0,19.8,0.11,15.21,0.0,0.0,0.0,Sehat
Nutrijell pudding suus rasa vanila (120 g),0 g,40.0,0.0,8.0,0.5,5.0,30.0,0.0,Kurang Sehat
Mie sedaap kari spesial,3 g,340.0,8.0,48.0,13.0,2.0,0.0,3.0,Kurang Sehat
Burger Carl's Jr california classic double cheeseburger,2 g,600.0,23.0,41.0,39.0,11.0,0.0,2.0,Kurang Sehat
Permen mentos spearmint,0 g,5.0,0.0,1.0,0.0,0.0,0.0,0.0,Sehat
Teh Kotak Rasa Apel,0 g,100.0,0.0,24.0,0.0,20.0,50.0,0.0,Kurang Sehat
Santan (dengan air),0.40 g,122.0,2.0,7.6,10.0,0.0,9.0,1.4,Sehat
Mi basah,2.10 g,88.0,0.6,14.0,3.3,0.0,63.0,0.1,Sehat
Sagu forno,0.60 g,291.0,0.5,63.4,4.0,0.0,40.0,0.0,Kurang Sehat
Gado-gado,1.50 g,137.0,6.1,21.0,3.2,0.0,0.0,1.1,Sehat
Coklat Hershey's milk chocolate,0.10 g,22.0,0.3,2.8,1.3,2.6,0.0,0.1,Sehat
Mie aceh rebus,1.10 g,113.0,3.0,18.1,3.2,0.0,191.0,0.0,Kurang Sehat
Jagung gerontol,0.80 g,156.0,2.7,33.3,1.3,0.0,0.0,1.0,Sehat
Puff pastry sheet,3 g,200.0,3.0,18.0,13.0,1.0,0.0,0.0,Kurang Sehat
Melinjo emping tebal goreng asin,1.60 g,431.0,11.1,63.0,16.2,0.0,0.0,0.0,Kurang Sehat
Yogurt greek yummy original,7 g,140.0,7.0,17.0,4.0,8.0,0.0,0.0,Sehat
Sayur sop,2.70 g,27.0,1.3,1.0,2.0,0.0,0.0,0.3,Sehat
Pulut,0.80 g,216.0,2.6,44.4,3.1,0.0,100.0,0.0,Kurang Sehat
Nutrisari jus mangga,0 g,60.0,0.0,13.0,1.0,12.0,0.0,0.0,Kurang Sehat
dancow susu bubuk fortigro full cream,6 g,120.0,6.0,10.0,7.0,0.0,90.0,0.0,Sehat
Pork loin,19.74 g,198.0,19.74,0.0,12.58,0.0,0.0,0.0,Sehat
Cake tape,1.40 g,323.0,4.9,50.1,11.5,0.0,0.0,1.4,Kurang Sehat
Supermi rasa Kaldu Ayam,3 g,100.0,6.0,45.0,11.0,2.0,920.0,3.0,Sehat
Sate Ayam,19.54 g,225.0,19.54,4.87,14.82,0.0,355.0,0.0,Kurang Sehat
Ademsari chingku herbal tea,0 g,90.0,0.0,21.0,0.0,21.0,0.0,0.0,Kurang Sehat
Batatas gembili,Tidak Diketahui,0.7,76.0,1.1,16.0,0.9,0.0,10.0,Sehat
Supermi rasa steak ayam,4 g,140.0,7.0,54.0,15.0,6.0,590.0,4.0,Kurang Sehat
Red Hot Cajun  (classic wings),1 g,142.0,15.0,1.0,8.0,0.0,0.0,1.0,Sehat
Tony roma's the original baby back ribs,0 g,563.0,30.0,55.0,25.0,50.0,0.0,0.0,Kurang Sehat
Kerupuk kemplang (ikan) mentah,5.10 g,325.0,1.8,78.5,0.4,0.0,1123.0,4.5,Kurang Sehat
Rempeyek kacang uci,3.40 g,497.0,17.0,50.8,27.6,0.0,0.0,2.4,Kurang Sehat
Ampas kacang hijau,0.60 g,96.0,3.7,19.1,0.6,0.0,0.0,2.7,Sehat
Pronas chicken luncheon,3 g,80.0,4.0,3.0,6.0,0.0,0.0,3.0,Sehat
Soto sukaraja,Tidak Diketahui,1.1,80.0,3.2,9.0,3.5,0.0,0.0,Sehat
Chitato keripik kentang rasa sapi panggang,2 g,110.0,2.0,11.0,6.0,0.0,115.0,0.0,Kurang Sehat
Manan samin,0.80 g,379.0,3.4,50.6,18.1,0.0,0.0,0.0,Kurang Sehat
Pizza hut meat lover's,2 g,470.0,19.0,36.0,28.0,1.0,0.0,2.0,Kurang Sehat
Bika ambon,0.60 g,199.0,2.1,44.4,1.5,0.0,0.0,0.3,Sehat
Keju Lemnos Fetta Cheese,5.40 g,83.0,5.4,0.4,6.9,0.9,0.0,0.0,Sehat
Krupuk Bocah Tua (mentah),1 g,340.0,1.0,84.0,0.0,0.0,1570.0,0.0,Kurang Sehat
Nissin wafer coklat,2 g,50.0,2.0,20.0,6.0,8.0,70.0,0.0,Kurang Sehat
Richeese Nabati,0 g,40.0,0.0,6.0,1.5,0.0,30.0,0.0,Sehat
KFC extra crispy sayap,10 g,170.0,10.0,5.0,13.0,0.0,0.0,0.0,Sehat
Kacang uci,3.70 g,358.0,23.4,60.6,2.4,0.0,13.0,7.4,Sehat
Kecimpring singkong goreng,3.50 g,464.0,1.2,73.0,18.6,0.0,0.0,1.3,Kurang Sehat
Sariroti Sandwich krim keju,1 g,130.0,3.0,17.0,6.0,3.0,260.0,1.0,Sehat
Susu My protein impact whey protein,0.50 g,105.0,20.0,3.0,1.8,1.6,0.0,0.5,Sehat
Kluwek,1.50 g,310.0,10.0,13.5,24.0,0.0,0.0,0.0,Kurang Sehat
keripik Qtela singkong,0 g,100.0,0.0,14.0,5.0,1.0,0.0,0.0,Sehat
Milo Activ-Go 18 gram,0 g,15.0,2.0,13.0,2.0,8.0,35.0,0.0,Kurang Sehat
Indomie rasa ayam bawang,2 g,100.0,7.0,43.0,11.0,3.0,1330.0,2.0,Sehat
Ketela pohon kukus,0.60 g,153.0,1.2,36.4,0.3,0.0,2.0,1.3,Sehat
Indomie rasa ayam special,2 g,90.0,7.0,44.0,10.0,3.0,1180.0,2.0,Sehat
Caotina,1 g,114.0,1.0,10.4,7.4,10.0,20.0,0.0,Kurang Sehat
Jahe,Tidak Diketahui,1.2,51.0,1.5,10.1,1.0,0.0,12.0,Sehat
Yeo's Chrysantenum tea,0 g,90.0,0.0,22.0,0.0,22.0,0.0,0.0,Kurang Sehat
Kue kelapa,1.50 g,591.0,5.6,47.5,42.1,0.0,33.0,0.0,Kurang Sehat
Teajus Gula Batu,0 g,25.0,0.0,6.0,0.0,5.0,0.0,0.0,Kurang Sehat
nestle cerelac bubur sereal susu rasa ayam sayur,8 g,210.0,8.0,34.0,5.0,0.0,150.0,0.0,Sehat
Nissin UFO fried ramen 100 g,100 g,190.0,8.0,62.0,21.0,6.0,1980.0,2.0,Kurang Sehat
Ricola herb canndy,0 g,60.0,0.0,15.0,0.0,0.0,0.0,0.0,Sehat
Mostarda metan-sawi,1.10 g,33.0,2.3,4.7,0.5,0.0,20.0,1.8,Sehat
ABC Minuman Asam Jawa,0 g,140.0,0.0,34.0,0.0,0.0,0.0,0.0,Sehat
Labu siam,Tidak Diketahui,0.3,30.0,0.6,6.7,0.1,0.0,3.0,Sehat
Sirup Sunquick Orange,0 g,45.0,0.0,11.0,0.0,11.0,0.0,0.0,Kurang Sehat
Kembang tahu rebus,0.80 g,90.0,10.7,4.7,4.0,0.0,0.0,0.0,Sehat
Indofood Racik Bumbu Nasi Goreng,0 g,0.0,0.0,4.0,0.0,2.0,1050.0,0.0,Kurang Sehat
Tahu telur,1.10 g,328.0,12.6,24.6,19.9,0.0,755.4,0.4,Kurang Sehat
Tempe bongkrek,146.30 g,119.0,4.4,18.3,3.5,0.0,0.0,0.0,Sehat
Royco ayam bumbu rujak,0 g,10.0,0.0,2.0,0.0,2.0,0.0,0.0,Sehat
Fitbar,1 g,90.0,3.0,14.0,2.5,4.0,0.0,1.0,Sehat
Tempe lamtoro var. gung tanpa kuit,1.10 g,131.0,18.0,13.0,0.8,0.0,0.0,1.3,Sehat
Oishi Rasa Udang Pedas,0.50 g,12.5,1.0,8.0,1.5,1.0,95.0,0.5,Sehat
Yoghurt,Tidak Diketahui,2.2,52.0,3.3,4.0,2.5,0.0,40.0,Sehat
Es krim Wall's double dutch,1 g,150.0,3.0,18.0,7.0,9.0,0.0,1.0,Sehat
Bamboe Tongseng,2 g,25.0,1.0,5.0,2.5,1.0,580.0,2.0,Sehat
Top sirloin,21.77 g,127.0,21.77,0.01,4.45,0.0,0.0,0.0,Sehat
Sambal Terasi Kokita,1 g,30.0,1.0,5.0,1.0,1.0,0.0,0.0,Sehat
susu mama minuman khusus ibu hamil & menyusui rasa cokelat,9 g,190.0,9.0,26.0,5.0,0.0,115.0,0.0,Sehat
Ubi jalar tinta / kemayung,1 g,108.0,0.5,25.6,0.4,0.0,1.0,4.2,Sehat
Cengkeh kering,5.20 g,330.0,5.2,57.4,8.9,0.0,282.0,10.0,Kurang Sehat
Kacang kedelai goreng,100.0 g,521.0,32.2,22.9,37.7,0.0,3492.0,7.6,Kurang Sehat
monde boromon cookies,1 g,0.0,0.0,18.0,0.0,5.0,10.0,1.0,Sehat
KFC extra crispy dada,35 g,530.0,35.0,18.0,35.0,0.0,0.0,0.0,Kurang Sehat
Mi ABC cup mi ayam jamur,6 g,390.0,7.0,45.0,20.0,8.0,0.0,6.0,Kurang Sehat
Permen RELAXA,0 g,10.0,0.0,2.0,0.0,2.0,0.0,0.0,Sehat
Kopi Good Day Chococinno,1 g,98.0,1.0,17.0,2.0,0.0,15.0,0.0,Sehat
Pop Ice Taro,0 g,15.0,0.0,22.0,1.5,19.0,40.0,0.0,Kurang Sehat
Koro andong,3 g,356.0,20.5,61.6,4.1,0.0,18.0,7.0,Sehat
Jeruk manis,Tidak Diketahui,0.5,45.0,0.9,11.2,0.2,0.0,4.0,Sehat
Bamboe Lodeh,0 g,10.0,1.0,0.0,1.0,0.0,980.0,0.0,Kurang Sehat
